,high_season,min_diff,delay_15,period_day
0,0,-11.0,0,night
1,0,-5.0,0,night
2,0,6.0,0,night
3,0,5.0,0,night
4,0,-2.0,0,night
5,0,-9.0,0,night
6,0,-6.0,0,night
7,0,-4.0,0,morning
8,0,5.0,0,morning
9,0,-3.0,0,morning
10,0,-3.0,0,morning
11,0,13.0,0,morning
12,0,0.0,0,morning
13,0,1.0,0,morning
14,0,-6.0,0,morning
15,0,-1.0,0,morning
16,0,1.0,0,morning
17,0,-3.0,0,morning
18,0,1.0,0,morning
19,0,18.0,1,morning
20,0,-11.0,0,morning
21,0,2.0,0,morning
22,0,-2.0,0,morning
23,0,-5.0,0,morning
24,0,46.0,1,morning
25,0,-6.0,0,morning
26,0,-1.0,0,morning
27,0,5.0,0,morning
28,0,0.0,0,morning
29,0,0.0,0,morning
30,0,-4.0,0,morning
31,0,-5.0,0,morning
32,0,35.0,1,morning
33,0,-6.0,0,morning
34,0,36.0,1,morning
35,0,10.0,0,morning
36,0,1.0,0,morning
37,0,14.0,0,morning
38,0,2.0,0,morning
39,0,2.0,0,morning
40,0,-1.0,0,morning
41,0,11.0,0,morning
42,0,-3.0,0,morning
43,0,8.0,0,morning
44,0,-1.0,0,morning
45,0,-2.0,0,morning
46,0,3.0,0,morning
47,0,1.0,0,morning
48,0,-2.0,0,morning
49,0,0.0,0,morning
50,0,-5.0,0,morning
51,0,-10.0,0,morning
52,0,-3.0,0,morning
53,0,7.0,0,morning
54,0,0.0,0,morning
55,0,5.0,0,morning
56,0,0.0,0,morning
57,0,-5.0,0,morning
58,0,-3.0,0,morning
59,0,5.0,0,morning
60,0,0.0,0,morning
61,0,-5.0,0,afternoon
62,0,-3.0,0,afternoon
63,0,7.0,0,afternoon
64,0,1.0,0,afternoon
65,0,0.0,0,afternoon
66,0,-3.0,0,afternoon
67,0,37.0,1,afternoon
68,0,-1.0,0,afternoon
69,0,2.0,0,afternoon
70,0,-1.0,0,afternoon
71,0,4.0,0,afternoon
72,0,14.0,0,afternoon
73,0,-7.0,0,afternoon
74,0,81.0,1,afternoon
75,0,19.0,1,afternoon
76,0,-4.0,0,afternoon
77,0,14.0,0,afternoon
78,0,9.0,0,afternoon
79,0,0.0,0,afternoon
80,0,1.0,0,afternoon
81,0,-2.0,0,afternoon
82,0,13.0,0,afternoon
83,0,-2.0,0,afternoon
84,0,-2.0,0,afternoon
85,0,6.0,0,afternoon
86,0,5.0,0,afternoon
87,0,-4.0,0,afternoon
88,0,4.0,0,afternoon
89,0,0.0,0,afternoon
90,0,-5.0,0,afternoon
91,0,-7.0,0,afternoon
92,0,1.0,0,afternoon
93,0,3.0,0,afternoon
94,0,-6.0,0,afternoon
95,0,3.0,0,afternoon
96,0,3.0,0,afternoon
97,0,-7.0,0,afternoon
98,0,3.0,0,afternoon
99,0,-1.0,0,afternoon
100,0,0.0,0,afternoon
101,0,6.0,0,afternoon
102,0,-4.0,0,afternoon
103,0,-4.0,0,afternoon
104,0,-7.0,0,afternoon
105,0,38.0,1,afternoon
106,0,1.0,0,afternoon
107,0,3.0,0,afternoon
108,0,0.0,0,afternoon
109,0,-7.0,0,afternoon
110,0,-7.0,0,afternoon
111,0,4.0,0,afternoon
112,0,3.0,0,afternoon
113,0,-2.0,0,afternoon
114,0,4.0,0,afternoon
115,0,4.0,0,afternoon
116,0,4.0,0,afternoon
117,0,27.0,1,afternoon
118,0,12.0,0,afternoon
119,0,-2.0,0,afternoon
120,0,2.0,0,afternoon
121,0,-2.0,0,afternoon
122,0,4.0,0,afternoon
123,0,4.0,0,afternoon
124,0,4.0,0,afternoon
125,0,-1.0,0,afternoon
126,0,2.0,0,afternoon
127,0,0.0,0,afternoon
128,0,-2.0,0,afternoon
129,0,-4.0,0,night
130,0,-4.0,0,night
131,0,5.0,0,night
132,0,-6.0,0,night
133,0,6.0,0,night
134,0,-6.0,0,night
135,0,-2.0,0,night
136,0,7.0,0,night
137,0,4.0,0,night
138,0,17.0,1,night
139,0,-8.0,0,night
140,0,10.0,0,night
141,0,-4.0,0,night
142,0,0.0,0,night
143,0,-2.0,0,night
144,0,6.0,0,night
145,0,-3.0,0,night
146,0,-2.0,0,night
147,0,11.0,0,night
148,0,3.0,0,night
149,0,20.0,1,night
150,0,-2.0,0,night
151,0,-2.0,0,night
152,0,-1.0,0,night
153,0,-1.0,0,night
154,0,-4.0,0,night
155,0,15.0,0,night
156,0,4.0,0,night
157,0,1.0,0,night
158,0,1.0,0,night
159,0,16.0,1,night
160,0,4.0,0,night
161,0,4.0,0,night
162,0,17.0,1,night
163,0,3.0,0,night
164,0,3.0,0,night
165,0,7.0,0,night
166,0,1.0,0,night
167,0,0.0,0,night
168,0,16.0,1,night
169,0,16.0,1,night
170,0,27.0,1,night
171,0,13.0,0,night
172,0,75.0,1,night
173,0,19.0,1,night
174,0,-3.0,0,night
175,0,-3.0,0,night
176,0,4.0,0,night
177,0,-4.0,0,night
178,0,3.0,0,night
179,0,13.0,0,night
180,0,-6.0,0,night
181,0,9.0,0,night
182,0,-3.0,0,night
183,0,-5.0,0,night
184,0,-2.0,0,night
185,0,9.0,0,night
186,0,6.0,0,morning
187,0,6.0,0,morning
188,0,-2.0,0,morning
189,0,-2.0,0,morning
190,0,-3.0,0,morning
191,0,-3.0,0,morning
192,0,-3.0,0,morning
193,0,2.0,0,morning
194,0,0.0,0,morning
195,0,-5.0,0,morning
196,0,8.0,0,morning
197,0,3.0,0,morning
198,0,-9.0,0,morning
199,0,3.0,0,morning
200,0,-10.0,0,morning
201,0,-8.0,0,morning
202,0,12.0,0,morning
203,0,12.0,0,morning
204,0,1.0,0,morning
205,0,5.0,0,morning
206,0,1.0,0,morning
207,0,0.0,0,morning
208,0,20.0,1,morning
209,0,5.0,0,morning
210,0,9.0,0,morning
211,0,4.0,0,morning
212,0,0.0,0,morning
213,0,-3.0,0,morning
214,0,-2.0,0,morning
215,0,-3.0,0,morning
216,0,3.0,0,morning
217,0,10.0,0,morning
218,0,17.0,1,morning
219,0,17.0,1,morning
220,0,3.0,0,morning
221,0,1.0,0,morning
222,0,3.0,0,morning
223,0,-7.0,0,morning
224,0,-5.0,0,morning
225,0,16.0,1,morning
226,0,-1.0,0,morning
227,0,3.0,0,morning
228,0,1.0,0,morning
229,0,15.0,0,morning
230,0,-8.0,0,morning
231,0,0.0,0,morning
232,0,0.0,0,morning
233,0,11.0,0,morning
234,0,8.0,0,morning
235,0,1.0,0,morning
236,0,4.0,0,morning
237,0,8.0,0,morning
238,0,1.0,0,morning
239,0,7.0,0,morning
240,0,0.0,0,morning
241,0,7.0,0,morning
242,0,-3.0,0,morning
243,0,5.0,0,morning
244,0,2.0,0,morning
245,0,-2.0,0,morning
246,0,-3.0,0,morning
247,0,2.0,0,morning
248,0,-4.0,0,morning
249,0,1.0,0,morning
250,0,-4.0,0,morning
251,0,-2.0,0,morning
252,0,-8.0,0,morning
253,0,-1.0,0,morning
254,0,6.0,0,morning
255,0,37.0,1,morning
256,0,4.0,0,morning
257,0,3.0,0,morning
258,0,-8.0,0,afternoon
259,0,0.0,0,afternoon
260,0,2.0,0,afternoon
261,0,11.0,0,afternoon
262,0,5.0,0,afternoon
263,0,8.0,0,afternoon
264,0,7.0,0,afternoon
265,0,-3.0,0,afternoon
266,0,13.0,0,afternoon
267,0,-13.0,0,afternoon
268,0,10.0,0,afternoon
269,0,5.0,0,afternoon
270,0,0.0,0,afternoon
271,0,3.0,0,afternoon
272,0,-1.0,0,afternoon
273,0,-12.0,0,afternoon
274,0,-1.0,0,afternoon
275,0,3.0,0,afternoon
276,0,-7.0,0,afternoon
277,0,60.0,1,afternoon
278,0,7.0,0,afternoon
279,0,-2.0,0,afternoon
280,0,20.0,1,afternoon
281,0,2.0,0,afternoon
282,0,3.0,0,afternoon
283,0,27.0,1,afternoon
284,0,37.0,1,afternoon
285,0,40.0,1,afternoon
286,0,-3.0,0,afternoon
287,0,0.0,0,afternoon
288,0,1.0,0,afternoon
289,0,-4.0,0,afternoon
290,0,6.0,0,afternoon
291,0,8.0,0,afternoon
292,0,4.0,0,afternoon
293,0,-3.0,0,afternoon
294,0,-5.0,0,afternoon
295,0,16.0,1,afternoon
296,0,1.0,0,afternoon
297,0,1.0,0,afternoon
298,0,13.0,0,afternoon
299,0,6.0,0,afternoon
300,0,63.0,1,afternoon
301,0,7.0,0,afternoon
302,0,15.0,0,afternoon
303,0,9.0,0,afternoon
304,0,5.0,0,afternoon
305,0,-6.0,0,afternoon
306,0,-2.0,0,afternoon
307,0,10.0,0,afternoon
308,0,1.0,0,afternoon
309,0,0.0,0,afternoon
310,0,-8.0,0,afternoon
311,0,14.0,0,afternoon
312,0,5.0,0,afternoon
313,0,-3.0,0,afternoon
314,0,3.0,0,afternoon
315,0,-2.0,0,afternoon
316,0,-1.0,0,afternoon
317,0,5.0,0,afternoon
318,0,-2.0,0,afternoon
319,0,4.0,0,afternoon
320,0,-3.0,0,afternoon
321,0,4.0,0,afternoon
322,0,-4.0,0,afternoon
323,0,-2.0,0,afternoon
324,0,1.0,0,afternoon
325,0,5.0,0,afternoon
326,0,17.0,1,night
327,0,8.0,0,night
328,0,-2.0,0,night
329,0,-3.0,0,night
330,0,-1.0,0,night
331,0,0.0,0,night
332,0,7.0,0,night
333,0,4.0,0,night
334,0,10.0,0,night
335,0,7.0,0,night
336,0,7.0,0,night
337,0,-2.0,0,night
338,0,-5.0,0,night
339,0,43.0,1,night
340,0,24.0,1,night
341,0,8.0,0,night
342,0,2.0,0,night
343,0,13.0,0,night
344,0,60.0,1,night
345,0,-6.0,0,night
346,0,5.0,0,night
347,0,-2.0,0,night
348,0,4.0,0,night
349,0,17.0,1,night
350,0,-3.0,0,night
351,0,6.0,0,night
352,0,-6.0,0,night
353,0,1.0,0,night
354,0,-4.0,0,night
355,0,-2.0,0,night
356,0,6.0,0,night
357,0,-4.0,0,night
358,0,6.0,0,night
359,0,3.0,0,night
360,0,0.0,0,night
361,0,-3.0,0,night
362,0,3.0,0,night
363,0,95.0,1,night
364,0,9.0,0,night
365,0,-9.0,0,night
366,0,0.0,0,night
367,0,-1.0,0,night
368,0,15.0,0,night
369,0,-2.0,0,night
370,0,-1.0,0,night
371,0,83.0,1,night
372,0,-8.0,0,night
373,0,-10.0,0,night
374,0,-3.0,0,night
